case_index,sample_id,hexagram_id,hexagram_name,palace,moving_pattern,moving_positions,month_branch,day_ganzhi,yongshen,visible_candidates,hidden_candidate_count,selected_line,is_yongshen_positions,yuanshen_positions,jishen_positions,choushen_positions,c1_condition,c15_condition,c1_track_count,c15_track_count,track_originals_nonempty,output_signature,output_json,equal_to_choices,template_missing_lines,template_missing_contexts,failed_checks,placeholder_checks,exception_type,exception_message,result_class
35,乾:static,1,乾為天,乾,static,,巳,己巳,兄弟,5,0,5,5,"[3,6]",[4],[2],,,0,0,"{""C1"":null,""C15"":null}",9c69db3ecb943f231ca52007f237af9c4c168a7acb45655ee1d61f776ad06cbe,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[2],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[5],""jishen_positions"":[4],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:5"",""selected_line"":5,""target_element"":""金"",""visible_candidates"":[5],""yongshen_choice"":""兄弟"",""yuanshen_positions"":[3,6]}",,,,,,,,normal
36,乾:static,1,乾為天,乾,static,,巳,己巳,世應,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",98348cac125042bb4d088dd8a3661a1a1326d747f50655b03523c7e0e6759bc5,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""世應"",""yuanshen_positions"":[4]}",,,,,,,,normal
37,乾:static,1,乾為天,乾,static,,午,庚午,父母,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",e1f61f21cbf7e1e80fde4923782bf3a3d0798002683923600cc71521966c765c,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""父母"",""yuanshen_positions"":[4]}",,,,,,,,normal
38,乾:static,1,乾為天,乾,static,,午,庚午,官鬼,4,0,4,4,[2],[1],[5],,,0,0,"{""C1"":null,""C15"":null}",6eac014d44a3fd799549123424530a9c8428fda502223904f12f65de38ed881d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[5],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[4],""jishen_positions"":[1],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:4"",""selected_line"":4,""target_element"":""火"",""visible_candidates"":[4],""yongshen_choice"":""官鬼"",""yuanshen_positions"":[2]}",,,,,,,,normal
39,乾:static,1,乾為天,乾,static,,午,庚午,妻財,2,0,2,2,[1],[5],"[3,6]",,,0,0,"{""C1"":null,""C15"":null}",44ae09f46eecfa91e070ed7684b8360d646dcf3c05a12a2d7e3b09cb1451879a,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[3,6],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[2],""jishen_positions"":[5],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:2"",""selected_line"":2,""target_element"":""木"",""visible_candidates"":[2],""yongshen_choice"":""妻財"",""yuanshen_positions"":[1]}",,,,,,,,normal
40,乾:static,1,乾為天,乾,static,,午,庚午,子孫,1,0,1,1,[5],"[3,6]",[4],休囚之爻遇日沖,靜爻遇沖,8,8,"{""C1"":true,""C15"":true}",af4a0926246fa0464d7b966179af51a9150ea2adfd8b7d6b763412bb726b2344,"{""c15_condition"":""靜爻遇沖"",""c15_originals_nonempty"":true,""c15_track_count"":8,""c1_condition"":""休囚之爻遇日沖"",""c1_originals_nonempty"":true,""c1_track_count"":8,""choushen_positions"":[4],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[1],""jishen_positions"":[3,6],""moving_interactions"":[],""no_condition_status"":null,""selected_candidate_id"":""visible:1"",""selected_line"":1,""target_element"":""水"",""visible_candidates"":[1],""yongshen_choice"":""子孫"",""yuanshen_positions"":[5]}",,,,,,,,normal
41,乾:static,1,乾為天,乾,static,,午,庚午,兄弟,5,0,5,5,"[3,6]",[4],[2],,,0,0,"{""C1"":null,""C15"":null}",9c69db3ecb943f231ca52007f237af9c4c168a7acb45655ee1d61f776ad06cbe,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[2],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[5],""jishen_positions"":[4],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:5"",""selected_line"":5,""target_element"":""金"",""visible_candidates"":[5],""yongshen_choice"":""兄弟"",""yuanshen_positions"":[3,6]}",,,,,,,,normal
42,乾:static,1,乾為天,乾,static,,午,庚午,世應,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",98348cac125042bb4d088dd8a3661a1a1326d747f50655b03523c7e0e6759bc5,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""世應"",""yuanshen_positions"":[4]}",,,,,,,,normal
43,乾:static,1,乾為天,乾,static,,未,辛未,父母,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",e1f61f21cbf7e1e80fde4923782bf3a3d0798002683923600cc71521966c765c,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""父母"",""yuanshen_positions"":[4]}",,,,,,,,normal
44,乾:static,1,乾為天,乾,static,,未,辛未,官鬼,4,0,4,4,[2],[1],[5],,,0,0,"{""C1"":null,""C15"":null}",6eac014d44a3fd799549123424530a9c8428fda502223904f12f65de38ed881d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[5],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[4],""jishen_positions"":[1],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:4"",""selected_line"":4,""target_element"":""火"",""visible_candidates"":[4],""yongshen_choice"":""官鬼"",""yuanshen_positions"":[2]}",,,,,,,,normal
45,乾:static,1,乾為天,乾,static,,未,辛未,妻財,2,0,2,2,[1],[5],"[3,6]",,,0,0,"{""C1"":null,""C15"":null}",44ae09f46eecfa91e070ed7684b8360d646dcf3c05a12a2d7e3b09cb1451879a,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[3,6],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[2],""jishen_positions"":[5],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:2"",""selected_line"":2,""target_element"":""木"",""visible_candidates"":[2],""yongshen_choice"":""妻財"",""yuanshen_positions"":[1]}",,,,,,,,normal
46,乾:static,1,乾為天,乾,static,,未,辛未,子孫,1,0,1,1,[5],"[3,6]",[4],,,0,0,"{""C1"":null,""C15"":null}",93ce114bf380fad3de41166ae524e3d86ac76bf489e5208d58cc6767a392102d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[4],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[1],""jishen_positions"":[3,6],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:1"",""selected_line"":1,""target_element"":""水"",""visible_candidates"":[1],""yongshen_choice"":""子孫"",""yuanshen_positions"":[5]}",,,,,,,,normal
47,乾:static,1,乾為天,乾,static,,未,辛未,兄弟,5,0,5,5,"[3,6]",[4],[2],,,0,0,"{""C1"":null,""C15"":null}",9c69db3ecb943f231ca52007f237af9c4c168a7acb45655ee1d61f776ad06cbe,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[2],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[5],""jishen_positions"":[4],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:5"",""selected_line"":5,""target_element"":""金"",""visible_candidates"":[5],""yongshen_choice"":""兄弟"",""yuanshen_positions"":[3,6]}",,,,,,,,normal
48,乾:static,1,乾為天,乾,static,,未,辛未,世應,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",98348cac125042bb4d088dd8a3661a1a1326d747f50655b03523c7e0e6759bc5,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""世應"",""yuanshen_positions"":[4]}",,,,,,,,normal
49,乾:static,1,乾為天,乾,static,,申,壬申,父母,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",e1f61f21cbf7e1e80fde4923782bf3a3d0798002683923600cc71521966c765c,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""父母"",""yuanshen_positions"":[4]}",,,,,,,,normal
50,乾:static,1,乾為天,乾,static,,申,壬申,官鬼,4,0,4,4,[2],[1],[5],,,0,0,"{""C1"":null,""C15"":null}",6eac014d44a3fd799549123424530a9c8428fda502223904f12f65de38ed881d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[5],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[4],""jishen_positions"":[1],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:4"",""selected_line"":4,""target_element"":""火"",""visible_candidates"":[4],""yongshen_choice"":""官鬼"",""yuanshen_positions"":[2]}",,,,,,,,normal
51,乾:static,1,乾為天,乾,static,,申,壬申,妻財,2,0,2,2,[1],[5],"[3,6]",,靜爻遇沖,0,8,"{""C1"":null,""C15"":true}",b6b34b04257a672703cc1be461d56340517e9aa4cb75a4476457d4ace27ccff7,"{""c15_condition"":""靜爻遇沖"",""c15_originals_nonempty"":true,""c15_track_count"":8,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[3,6],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[2],""jishen_positions"":[5],""moving_interactions"":[],""no_condition_status"":null,""selected_candidate_id"":""visible:2"",""selected_line"":2,""target_element"":""木"",""visible_candidates"":[2],""yongshen_choice"":""妻財"",""yuanshen_positions"":[1]}",,,,,,,,normal
52,乾:static,1,乾為天,乾,static,,申,壬申,子孫,1,0,1,1,[5],"[3,6]",[4],,,0,0,"{""C1"":null,""C15"":null}",93ce114bf380fad3de41166ae524e3d86ac76bf489e5208d58cc6767a392102d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[4],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[1],""jishen_positions"":[3,6],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:1"",""selected_line"":1,""target_element"":""水"",""visible_candidates"":[1],""yongshen_choice"":""子孫"",""yuanshen_positions"":[5]}",,,,,,,,normal
53,乾:static,1,乾為天,乾,static,,申,壬申,兄弟,5,0,5,5,"[3,6]",[4],[2],,,0,0,"{""C1"":null,""C15"":null}",9c69db3ecb943f231ca52007f237af9c4c168a7acb45655ee1d61f776ad06cbe,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[2],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[5],""jishen_positions"":[4],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:5"",""selected_line"":5,""target_element"":""金"",""visible_candidates"":[5],""yongshen_choice"":""兄弟"",""yuanshen_positions"":[3,6]}",,,,,,,,normal
54,乾:static,1,乾為天,乾,static,,申,壬申,世應,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",98348cac125042bb4d088dd8a3661a1a1326d747f50655b03523c7e0e6759bc5,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""世應"",""yuanshen_positions"":[4]}",,,,,,,,normal
55,乾:static,1,乾為天,乾,static,,酉,癸酉,父母,3|6,0,3,3,[4],[2],[1],,,0,0,"{""C1"":null,""C15"":null}",e1f61f21cbf7e1e80fde4923782bf3a3d0798002683923600cc71521966c765c,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[1],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[3],""jishen_positions"":[2],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:3"",""selected_line"":3,""target_element"":""土"",""visible_candidates"":[3,6],""yongshen_choice"":""父母"",""yuanshen_positions"":[4]}",,,,,,,,normal
56,乾:static,1,乾為天,乾,static,,酉,癸酉,官鬼,4,0,4,4,[2],[1],[5],,,0,0,"{""C1"":null,""C15"":null}",6eac014d44a3fd799549123424530a9c8428fda502223904f12f65de38ed881d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[5],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[4],""jishen_positions"":[1],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:4"",""selected_line"":4,""target_element"":""火"",""visible_candidates"":[4],""yongshen_choice"":""官鬼"",""yuanshen_positions"":[2]}",,,,,,,,normal
57,乾:static,1,乾為天,乾,static,,酉,癸酉,妻財,2,0,2,2,[1],[5],"[3,6]",,,0,0,"{""C1"":null,""C15"":null}",44ae09f46eecfa91e070ed7684b8360d646dcf3c05a12a2d7e3b09cb1451879a,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[3,6],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[2],""jishen_positions"":[5],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:2"",""selected_line"":2,""target_element"":""木"",""visible_candidates"":[2],""yongshen_choice"":""妻財"",""yuanshen_positions"":[1]}",,,,,,,,normal
58,乾:static,1,乾為天,乾,static,,酉,癸酉,子孫,1,0,1,1,[5],"[3,6]",[4],,,0,0,"{""C1"":null,""C15"":null}",93ce114bf380fad3de41166ae524e3d86ac76bf489e5208d58cc6767a392102d,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[4],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[1],""jishen_positions"":[3,6],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:1"",""selected_line"":1,""target_element"":""水"",""visible_candidates"":[1],""yongshen_choice"":""子孫"",""yuanshen_positions"":[5]}",,,,,,,,normal
59,乾:static,1,乾為天,乾,static,,酉,癸酉,兄弟,5,0,5,5,"[3,6]",[4],[2],,,0,0,"{""C1"":null,""C15"":null}",9c69db3ecb943f231ca52007f237af9c4c168a7acb45655ee1d61f776ad06cbe,"{""c15_condition"":null,""c15_originals_nonempty"":null,""c15_track_count"":0,""c1_condition"":null,""c1_originals_nonempty"":null,""c1_track_count"":0,""choushen_positions"":[2],""hidden_candidate_count"":0,""hidden_yongshen_marked"":false,""is_yongshen_positions"":[5],""jishen_positions"":[4],""moving_interactions"":[],""no_condition_status"":""此爻不觸發 C1／C15 任何條件"",""selected_candidate_id"":""visible:5"",""selected_line"":5,""target_element"":""金"",""visible_candidates"":[5],""yongshen_choice"":""兄弟"",""yuanshen_positions"":[3,6]}",,,,,,,,normal
